variable,UHogar,RHogar,UPersonas,RPersonas
n_vecesc_3,0,1,0,0
n_vecesc_4,0,1,0,0
n_vecesc_5,0,1,0,0
nac_ano,0,0,1,1
nac_dia,0,0,1,1
nac_mes,0,0,1,1
nhoras_org1,0,0,1,1
nhoras_org2,0,0,1,1
nhoras_org3,0,0,1,1
nhoras_org4,0,0,1,1
nhoras_org5,0,0,1,1
ningun_subsidio,1,1,0,0
nivel_educ,0,0,1,1
nivel_educ_cursa,0,0,1,1
noestudia_cual,0,0,1,1
nombre_empresa,0,0,1,0
noprof_acci,0,0,1,1
noprof_ciru,0,0,1,1
noprof_enfe,0,0,1,1
noprof_odon,0,0,1,1
noson_hogar,0,0,0,1
noson_hogar_cual,0,0,0,1
obtencion_agua,1,1,0,0
ocupacion,0,0,1,1
ocupacion2,0,0,1,0
ocupacion_cual,0,0,1,1
ocupacion_pt,0,0,1,0
ocupacion_pt_cual,0,0,1,0
ocupacion_tenia,0,0,1,0
ocupacion_tenia_cual,0,0,1,0
ofertas_emp1,0,0,1,0
ofertas_emp12,0,0,1,0
ofertas_empleo,0,0,1,0
oficina,1,1,0,0
oficio_trabajaba,0,0,1,0
ofrecev_ano,1,0,0,0
ofrecev_mes,1,0,0,0
ofrecev_vivi,1,0,0,0
ola,1,1,1,1
orden,0,0,1,1
orden_conyuge,0,0,1,1
orden_madre,0,0,1,1
orden_padre,0,0,1,1
orden_pariente,0,0,1,1
orden_tareas,0,0,1,1
ordeninforma,1,1,0,0
org_caridad,0,0,1,1
org_comunitaria,0,0,1,1
org_culdep,0,0,1,1
org_educ,0,0,1,1
org_etnica,0,0,1,1
org_iestado,0,0,1,1
org_jac,0,0,1,1
org_mamb,0,0,1,1
org_ninguna,0,0,1,1
org_otra,0,0,1,1
org_otra_cual,0,0,1,1
org_religiosa,0,0,1,1
otra_financiacion,1,1,0,0
otra_financiacion_cual,1,1,0,0
otras_unionesm,0,0,1,1
otro_bien_cual,1,1,0,0
otro_programa,1,1,0,0
otro_programa_cual,1,1,0,0
padre_vive,0,0,1,1
pago_bono,0,0,1,1
pago_complem,0,0,1,1
pago_matricula,0,0,1,1
pago_pension,0,0,1,1
pago_uniformes,0,0,1,1
pago_utiles,0,0,1,1
pais_nac,0,0,1,1
pais_vivia,0,0,1,1
pais_vivia5,0,0,1,1
parentesco,0,0,1,1
pariente,0,0,1,1
pds,0,0,1,0
period_cuota_1,1,1,0,0
period_cuota_10,1,0,0,0
period_cuota_14,1,0,0,0
period_cuota_2,1,1,0,0
period_cuota_3,1,1,0,0
period_cuota_4,1,1,0,0
period_cuota_5,1,1,0,0
period_cuota_6,1,1,0,0
period_cuota_7,1,1,0,0
period_cuota_8,1,1,0,0
period_cuota_9,1,0,0,0
pin,0,0,1,0
pinc_aliment,0,0,1,1
pinc_otros,0,0,1,1
pinc_solop,0,0,1,1
pinc_transp,0,0,1,1
poc,0,0,1,0
porcentaje_participacion,0,0,1,0
ppt,0,0,1,0
prepagada,0,0,1,1
presion_m,0,0,1,1
presion_p,0,0,1,1
prestamo_empleador,1,0,0,0
prestamo_familiar,1,1,0,0
prestamo_libros,0,0,1,1
prestamo_particular,1,1,0,0
prev_malter,0,0,1,1
prev_med,0,0,1,1
prev_nousa,0,0,1,1
prev_odo,0,0,1,1
prev_opto,0,0,1,1
prev_pediatra,0,0,1,1
prev_planif,0,0,1,1
prg_adultomayor,1,1,0,0
prg_tierras,0,1,0,0
proyecto,0,0,1,0
pta,0,0,1,0
ptd_org1,0,0,1,1
ptd_org2,0,0,1,1
ptd_org3,0,0,1,1
ptd_org4,0,0,1,1
ptd_org5,0,0,1,1
razon_db_cual,0,0,1,0
razon_dejo_bus,0,0,1,0
razon_dejo_trab,0,0,1,0
razon_dt_cual,0,0,1,0
razon_jornalero,0,0,0,1
razon_jornalero_cual,0,0,0,1
razon_llego,0,0,1,1
razon_llego_cual,0,0,1,1
razon_na_cual,0,0,1,1
razon_noacepto,0,0,1,0
razon_noacepto_cual,0,0,1,0
razon_noahorra,0,0,1,1
razon_noestudia,0,0,1,1
razon_novivia,0,0,1,1
razon_nsfinan,0,0,1,1
razon_nsfinan_cual,0,0,1,1
razon_nv_cual,0,0,1,1
razon_retiro_in,0,0,1,0
razon_retiro_pt,0,0,1,0
razon_ri_cual,0,0,1,0
razon_rpt_cual,0,0,1,0
razon_tiene_negocio,0,0,1,0
razon_tn_cual,0,0,1,0
rec_alimentos_pago,0,0,1,1
rec_almuerzo,0,0,1,1
rec_balimenta,0,0,1,1
rec_bfotocop,0,0,1,1
rec_btransp,0,0,1,1
rec_desayuno,0,0,1,1
rec_nada,0,0,1,1
rec_otros_pago,0,0,1,0
rec_refrigerio,0,0,1,1
rec_uniformes,0,0,1,1
rec_vivienda_pago,0,0,1,1
recibia_pt,0,0,1,0
recibio_beca,0,0,1,1
recursos_propios,1,1,0,0
red_juntos,1,1,0,0
regimen,0,0,1,1
region,1,1,0,0
registro_mercantil,0,0,1,0
religion,1,1,0,0
religion_cual,1,1,0,0
religion_cual2,1,1,0,0
rinon_m,0,0,1,1
rinon_p,0,0,1,1
riqueza_pca,1,1,0,0
seguimiento,0,0,1,1
semovientes,1,0,0,0
sena,1,1,0,0
servicio_sanitario,1,1,0,0
sexo,0,0,1,1
sindicato,0,0,1,1
sitio_alimentos,1,1,0,0
sordera,0,0,1,1
sp_acueducto,1,1,0,0
sp_alcantarillado,1,1,0,0
sp_energia,1,1,0,0
sp_estrato,1,0,0,0
sp_gasnatural,1,1,0,0
sp_recoleccion_basura,1,1,0,0
sp_telefono,1,1,0,0
sss,0,0,1,1
sss_meses,0,0,1,1
sss_porque,0,0,1,1
sss_pt,0,0,1,0
sub_aliment,0,0,0,1
sub_desempleo,1,1,0,0
sub_familiar,0,0,0,1
sub_transp,0,0,0,1
subsidio_compra,1,1,0,0
subsidio_legalizar,1,1,0,0
subsidio_mejora,1,1,0,0
subsidio_negado,1,1,0,0
subsidio_nousado,1,1,0,0
subsidio_recibido,1,1,0,0
subsidios,1,0,0,0
